script_id,updated_on,promoter_shares,public _shares,total_listed_shares,symbol
131,"Jul 19, 2024","158,121,099","112,448,885","270,569,984",NABIL
132,"Jul 19, 2024","207,534,107","133,751,842","341,285,949",NIMB
133,"Nov 26, 2024","70,507,469","29,916,215","100,423,684",SCB
134,"Dec 27, 2023","158,071,639","58,494,519","216,566,158",HBL
136,"Feb 20, 2022","52,091,090","48,762,908","100,853,998",NBB
137,"Dec 4, 2024","76,671,424","52,775,519","129,446,943",EBL
138,"Nov 24, 2022","57,433,311","55,181,025","112,614,336",BOKL
139,"Jan 5, 2024","76,079,591","73,096,079","149,175,670",NICA
140,"Sep 24, 2023","59,268,922","56,944,651","116,213,573",MBL
141,"Dec 31, 2024","124,288,945","119,176,178","243,465,123",LSL
142,"Jan 21, 2023","134,053,321","128,205,292","262,258,613",KBL
143,"Feb 18, 2025","10,204,250","9,804,082","20,008,332",LUBL
144,"Oct 31, 2022","58,724,828","56,421,900","115,146,728",NCCB
145,"Mar 19, 2023","71,858,899","69,040,903","140,899,802",SBL
146,"Feb 18, 2025","2,209,208",0,"2,209,208",YHL
147,"Feb 10, 2025","86,858,329","15,327,940","102,186,269",SHL
149,"Sep 22, 2024","8,291,465","3,553,485","11,844,950",OHL
150,"Feb 18, 2025","77,355",0,"77,355",ESC
151,"Feb 18, 2025","250,556","240,729","491,285",NFD
152,"Oct 19, 2023","19,731,504","4,932,876","24,664,380",NHPC
154,"Dec 29, 2024","44,790,227","43,033,747","87,823,974",CHCL
155,"Aug 8, 2024","681,845","2,525,326","3,207,171",STC
156,"Nov 26, 2024","39,681,033","418,967","40,100,000",BBC
157,"Feb 18, 2025","56,018",0,"56,018",NBCK
158,"May 17, 2021","50,000",0,"50,000",NTL
159,"May 17, 2021","21,525","19,475","41,000",NWC
160,"Feb 18, 2025","2,956,741","22,043","2,978,784",NIDC
161,"Feb 18, 2025","1,696,000","1,504,000","3,200,000",NDB
162,"Feb 18, 2025","14,000,367","6,000,157","20,000,524",GRAND
163,"Feb 13, 2023","13,321,607","12,799,191","26,120,798",NUBL
164,"Dec 29, 2024","16,398,264","15,755,195","32,153,459",CBBL
165,"Feb 18, 2025","1,746,850","1,818,150","3,565,000",PDBL
166,"Dec 31, 2024","9,528,258","9,154,600","18,682,858",DDBL
167,"Feb 18, 2025","2,333,760","2,242,240","4,576,000",GDBL1
168,"Feb 18, 2025","5,386,618","5,175,377","10,561,995",BUDBL
170,"Feb 18, 2025","2,417,053","2,322,266","4,739,319",BBBL
172,"Dec 10, 2021","1,837,273","787,403","2,624,676",NABBC
173,"Feb 18, 2025","1,455,300","623,700","2,079,000",BBBLN
174,"Feb 18, 2025","2,599,308","2,497,374","5,096,682",SBBLJ
175,"Feb 18, 2025","3,696,000","1,584,000","5,280,000",GDBNL
176,"Feb 25, 2024","8,385,634","8,056,786","16,442,420",NICL
177,"Feb 18, 2025","2,339,736","326,629","2,666,365",RBCL
178,"Aug 7, 2024","33,878,866","18,242,467","52,121,333",NLICL
179,"Mar 7, 2024","12,750,803","12,250,771","25,001,574",HEI
180,"Mar 7, 2024","10,710,000","10,290,000","21,000,000",UAIL
181,"Apr 24, 2022","10,098,443","2,447,764","12,546,207",EIC
182,"Apr 3, 2023","14,313,403","13,752,096","28,065,499",SPIL
183,"Jan 28, 2025","15,092,705","10,061,804","25,154,509",NIL
184,"Apr 18, 2024","7,351,589","7,063,292","14,414,881",PRIN
185,"May 14, 2023","16,371,514","9,854,868","26,226,382",SALICO
186,"Jun 1, 2023","15,449,608","14,843,739","30,293,347",IGI
187,"Jan 22, 2025","46,046,693","44,240,940","90,287,633",NLIC
188,"Feb 12, 2025","33,673,400","16,326,600","50,000,000",LICN
189,"Apr 27, 2023","7,353,505","4,902,336","12,255,841",PICL
190,"Apr 25, 2023","11,236,385","2,809,096","14,045,481",LGIL
192,"Feb 11, 2025","14,894,254","14,310,165","29,204,419",SICL
193,"Feb 18, 2025","35,827",0,"35,827",MSM
194,"Feb 18, 2025","4,360,378","4,029,061","8,389,439",NFS
195,"Feb 18, 2025","1,461,666","487,221","1,948,887",BNL
196,"Feb 18, 2025","1,282,759","1,049,530","2,332,289",NCM
197,"May 17, 2021","68,750",0,"68,750",BJM
198,"Sep 20, 2024","581,573","147,672","729,245",NLO
199,"Feb 18, 2025","4,124,748","3,962,992","8,087,740",NNFC
200,"Feb 18, 2025","2,592,000","1,728,000","4,320,000",NSM
201,"Feb 18, 2025","81,507","19,743","101,250",NVG
202,"May 17, 2021","14,912,083","14,327,295","29,239,378",KBBL
203,"Feb 18, 2025","1,806,966",0,"1,806,966",RJM
204,"Sep 24, 2024","4,426,768","4,253,170","8,679,938",GUFL
205,"Feb 18, 2025","1,306,693",0,"1,306,693",BSM
206,"Feb 18, 2025","1,473,965","1,482,835","2,956,800",PFCL
207,"May 17, 2021","2,875,050","958,350","3,833,400",GRU
208,"Feb 18, 2025","1,049,417","699,611","1,749,028",UFCL
209,"Feb 18, 2025","1,270,288",0,"1,270,288",JSM
210,"Jan 5, 2025","51,853,701","12,963,425","64,817,126",CIT
211,"Feb 18, 2025","412,758","137,585","550,343",AVU
212,"Feb 18, 2025","1,028,709","988,366","2,017,075",NABB
213,"Feb 18, 2025","907,500","302,500","1,210,000",BNT
214,"Feb 18, 2025","2,136,517",0,"2,136,517",NFL
215,"Feb 18, 2025","18,650,000",0,"18,650,000",HBT
216,"Feb 18, 2025","5,102,053","4,901,971","10,004,024",ACEDBL
217,"Feb 18, 2025","165,000",0,"165,000",BSL
218,"Feb 18, 2025","2,019,584",0,"2,019,584",YFL
219,"Aug 8, 2024","782,595","138,105","920,700",UNL
220,"Feb 18, 2025","1,557,085",0,"1,557,085",GFLK
221,"Feb 18, 2025","135,000","90,000","225,000",SFC
222,"Feb 18, 2025","90,000",0,"90,000",NKU
223,"Feb 18, 2025","1,517,424",0,"1,517,424",UFLK
224,"Feb 18, 2025","480,000",0,"480,000",HTL
225,"Feb 18, 2025","1,147,675","765,116","1,912,791",NHMF
227,"Sep 9, 2024","5,469,876","3,434,366","8,904,242",BFC
228,"May 17, 2021","157,262","104,840","262,102",FHL
229,"Feb 18, 2025","2,463,300","2,366,700","4,830,000",MFL
231,"Feb 18, 2025","1,033,284","845,413","1,878,697",LFC
232,"Dec 31, 2021","4,825,187","4,635,965","9,461,152",GFCL
233,"Feb 18, 2025","210,680",0,"210,680",NBBU
234,"Feb 18, 2025","1,547,888","1,487,186","3,035,074",PFC
235,"Jan 2, 2025","17,825,730","12,908,288","30,734,018",HDL
236,"Jan 2, 2023","6,495,340","4,330,227","10,825,567",PFL
237,"Feb 18, 2025","2,840,063","2,728,687","5,568,750",LFLC
238,"Mar 20, 2022","93,670,201","89,996,859","183,667,060",NMB
239,"Feb 18, 2025","1,654,002","1,589,138","3,243,140",SFL
240,"Feb 18, 2025","1,076,400",0,"1,076,400",AEFL
242,"May 17, 2021","5,308,257","5,100,090","10,408,347",UFL
243,"Feb 18, 2025","3,304,800","3,175,200","6,480,000",ILFC
244,"Jan 2, 2025","5,100,002","4,900,002","10,000,004",SIFC
245,"Dec 31, 2021","5,123,928","4,364,828","9,488,756",CFCL
246,"Feb 18, 2025","3,000,000",0,"3,000,000",NSLMB
247,"Feb 18, 2025","760,191","506,794","1,266,985",PFCLL
249,"Feb 18, 2025","2,928,053","1,816,037","4,744,090",SYFL
250,"Feb 6, 2022","3,521,412","3,383,316","6,904,728",JFL
251,"Feb 18, 2025","10,018,041",0,"10,018,041",STFL
252,"Feb 18, 2025","1,954,260","1,302,840","3,257,100",OFL
253,"Feb 18, 2025","1,501,020",0,"1,501,020",CMBF
254,"Feb 18, 2025","2,378,376","1,585,584","3,963,960",FFCL
255,"Mar 15, 2023","120,066,699","115,358,200","235,424,899",PRVU
256,"Feb 16, 2025","4,176,448","4,012,666","8,189,114",SFCL
257,"Feb 18, 2025","4,200,000",0,"4,200,000",BJFL
259,"Feb 18, 2025","5,610,417","3,740,278","9,350,695",CMB
260,"Feb 18, 2025","1,644,094","1,579,619","3,223,713",PFIL
261,"Jun 30, 2021","5,007,777","4,622,562","9,630,339",SFFIL
262,"Feb 18, 2025","4,433,288","2,232,308","6,665,596",APEX
263,"Jan 24, 2024","5,161,671","4,960,089","10,121,760",GMFIL
264,"Feb 18, 2025","4,318,445",0,"4,318,445",IMEFI
265,"Feb 18, 2025","1,001,000",0,"1,001,000",BFIL
269,"Feb 18, 2025","10,000,000",0,"10,000,000",NCMMF
270,"Feb 18, 2025","913,353","583,947","1,497,300",IFIL
271,"May 17, 2021","46,170,783","44,360,163","90,530,946",SODBL
277,"Feb 18, 2025","2,000,000",0,"2,000,000",EBLCP
278,"Feb 18, 2025","1,346,555","1,293,748","2,640,303",NEFL
279,"Feb 18, 2025","2,169,325","2,084,253","4,253,578",BLDBL
280,"Jan 1, 2023","7,159,992","6,879,208","14,039,200",SIL
290,"Feb 18, 2025","4,323,357","3,789,529","8,112,886",IDBL
296,"Feb 18, 2025","2,202,750","1,802,250","4,005,000",CEFL
307,"Mar 24, 2022","164,754,000","15,246,000","180,000,000",NTC
308,"Feb 18, 2025","5,770,773","1,888,867","7,659,640",PRBBL
311,"May 17, 2021","17,761,027","16,726,405","34,487,432",DBBL
320,"Feb 18, 2025","1,665,000",0,"1,665,000",LBFIL
321,"Feb 18, 2025","3,988,426","2,658,950","6,647,376",SAFL
331,"Feb 18, 2025","1,015,539","975,713","1,991,252",SUBBL
332,"Feb 18, 2025","1,446,850","1,390,110","2,836,960",KAFIL
336,"Feb 18, 2025","5,826,240","5,597,760","11,424,000",CEDBL
337,"Feb 18, 2025","6,273,117","6,027,111","12,300,228",TBBL
338,"Jan 2, 2022","4,366,146","4,194,924","8,561,070",PROFL
340,"Feb 18, 2025","409,200","190,800","600,000",PGBL
341,"Feb 16, 2025","195,305,630","185,852,898","381,158,528",GBIME
342,"Feb 18, 2025","4,021,768","3,864,050","7,885,818",REDBL
344,"Feb 18, 2025","4,109,700","2,890,300","7,000,000",AXIS
348,"Oct 9, 2024","75,440,119","72,250,012","147,690,131",CZBIL
349,"Feb 18, 2025","20,000,000",0,"20,000,000",BOAN
356,"Feb 18, 2025","1,200,000",0,"1,200,000",AFL
357,"Mar 16, 2023","98,953,137","95,072,622","194,025,759",PCBL
358,"Jan 2, 2025","24,644,635","11,592,147","36,236,782",LBBL
359,"Feb 20, 2022","51,606,354","49,582,575","101,188,929",SRBL
360,"Oct 20, 2024","26,936,021","11,544,009","38,480,030",AHPC
361,"Feb 18, 2025","490,000","210,000","700,000",CFL
364,"Feb 18, 2025","700,000","300,000","1,000,000",MGBL
367,"Feb 18, 2025","900,000","600,000","1,500,000",PDB
370,"Feb 18, 2025","670,517","644,221","1,314,738",MBBL
371,"Dec 29, 2024","6,207,210","5,963,790","12,171,000",MDB
383,"Feb 18, 2025","510,000","490,000","1,000,000",PBSL
384,"Feb 18, 2025","703,800",0,"703,800",RBSL
385,"Feb 18, 2024","17,339,166","16,659,198","33,998,364",ALICL
388,"Feb 18, 2025","3,467,630","3,331,643","6,799,273",KDBL
389,"Feb 18, 2025","4,774,730","4,587,484","9,362,214",SEWA
393,"Feb 6, 2025","46,630,510","44,801,863","91,432,373",HLI
394,"Feb 18, 2025","1,046,585","448,536","1,495,121",NGBL
396,"May 17, 2024","7,196,506","6,781,137","13,977,643",NLBBL
397,"Dec 29, 2024","70,661,644","67,890,600","138,552,244",ADBL
398,"Feb 18, 2025","12,827,451","12,324,412","25,151,863",ODBL
401,"Dec 29, 2024","21,911,937","21,052,645","42,964,582",MLBL
403,"Apr 18, 2024","25,560,934","24,558,544","50,119,478",SJLIC
405,"Feb 18, 2025","500,000",0,"500,000",UBBL
406,"Feb 18, 2025","1,326,385","1,274,368","2,600,753",ALDBL
407,"Feb 18, 2025","1,000,000",0,"1,000,000",SDFL
408,"Feb 18, 2025","1,503,810","1,002,540","2,506,350",ZFL
409,"Feb 18, 2025","1,000,000",0,"1,000,000",SMF
411,"Feb 18, 2025","1,400,000","600,000","2,000,000",SLFL
412,"Feb 18, 2025","1,456,770","643,230","2,100,000",GSDBL
413,"Feb 18, 2025","568,650","546,350","1,115,000",UFIL
414,"Feb 18, 2025","1,622,363","781,137","2,403,500",PRDBL
416,"Feb 18, 2025","838,143","805,274","1,643,417",SETI
417,"Jan 1, 2024","28,903,893","27,901,282","56,805,175",GBBL
418,"Feb 9, 2023","22,418,509","21,539,351","43,957,860",JBBL
420,"Feb 18, 2025","14,024,997","13,474,996","27,499,993",GDBL
421,"Feb 18, 2025","1,530,000","1,470,000","3,000,000",HATH
427,"May 17, 2021","2,211,199","631,771","2,842,970",KEBL
428,"Feb 28, 2024","2,564,433","2,463,867","5,028,300",KRBL
441,"Feb 18, 2025","980,000","420,000","1,400,000",HFL
442,"May 17, 2021","6,930,421","4,511,260","11,441,681",TNBL
443,"Feb 18, 2025","2,211,302","1,891,298","4,102,600",ARDBL
444,"Feb 18, 2025","1,433,600",0,"1,433,600",VFL
445,"Feb 18, 2025","2,721,968","2,318,713","5,040,681",WDBL
446,"Feb 18, 2025","1,000,000",0,"1,000,000",PRBL
448,"Feb 18, 2025","1,697,280","1,630,720","3,328,000",CNDBL
450,"Feb 20, 2023","3,675,000","1,575,000","5,250,000",CORBL
459,"Sep 30, 2024","17,905,316","17,203,147","35,108,463",KSBBL
460,"Feb 18, 2025","2,001,000",0,"2,001,000",RARA
470,"Feb 18, 2025","1,127,100","1,082,900","2,210,000",HAMA
471,"Jul 27, 2023","3,112,020","2,989,980","6,102,000",MPFL
472,"Dec 31, 2024","18,136,910","17,425,658","35,562,568",SADBL
473,"Dec 17, 2024","24,866,079","23,890,939","48,757,018",SHINE
487,"Feb 18, 2025","2,558,162","2,457,840","5,016,002",BHBL
489,"Feb 18, 2025","304,750","270,250","575,000",BGDBL
490,"Dec 5, 2024","6,858,844","6,589,870","13,448,714",FMDBL
496,"Feb 18, 2025","40,804,008","39,203,850","80,007,858",JBNL
502,"Jun 4, 2023","4,523,343","1,086,657","5,610,000",SMFDB
503,"Feb 18, 2025","4,690,834","4,506,878","9,197,712",TDBL
504,"Feb 18, 2025","250,000",0,"250,000",GULMI
505,"May 17, 2021","2,980,593","2,863,707","5,844,300",KADBL
506,"Feb 18, 2025","1,400,000","600,000","2,000,000",NCDBL
512,"Feb 18, 2025","707,991","381,225","1,089,216",PADBL
513,"Feb 18, 2025","1,494,640","640,560","2,135,200",METRO
514,"Feb 18, 2025","1,498,000","642,000","2,140,000",RDBL
516,"Dec 29, 2021","6,892,920","6,622,609","13,515,529",MFIL
517,"Aug 20, 2023","74,939,518","72,000,712","146,940,230",NBL
526,"Feb 18, 2025","50,000,000",0,"50,000,000",SIGS1
529,"Feb 18, 2025","1,619,254","1,555,752","3,175,006",INDB
531,"Feb 18, 2025","333,865","320,772","654,637",KKBL
532,"Jan 30, 2023","48,601,146","46,695,218","95,296,364",CBL
533,"Feb 18, 2025","350,000","150,000","500,000",CIVIC
535,"Feb 18, 2025","980,000","420,000","1,400,000",BRTBL
536,"Feb 18, 2025","3,590,400","3,449,600","7,040,000",INDBL
537,"Feb 18, 2025","350,000","150,000","500,000",KHDBL
538,"Feb 18, 2025","75,000,000",0,"75,000,000",NBF1
539,"Feb 18, 2025","14,000,000","6,000,000","20,000,000",CTBNL
545,"Feb 22, 2024","3,422,637","3,288,415","6,711,052",SLBBL
561,"May 17, 2021","2,842,417","2,732,144","5,574,561",SINDU
562,"Dec 7, 2022","116,854,002","50,798,798","167,652,800",MEGA
563,"Feb 18, 2025","352,200","234,800","587,000",JHBL
570,"May 17, 2021","4,034,808","1,729,202","5,764,010",MIDBL
572,"Feb 18, 2025","415,800","178,200","594,000",GABL
574,"Dec 31, 2024","30,188,351","12,937,865","43,126,216",SKBBL
575,"Jun 4, 2023","10,946,205","4,691,231","15,637,436",RMDC
576,"Feb 18, 2025","3,445,677","1,476,718","4,922,395",HAMRO
577,"May 17, 2021","4,324,771","4,155,171","8,479,942",JEFL
583,"May 17, 2021","6,877,500","2,947,500","9,825,000",GBLBS
588,"Feb 18, 2025","1,404,001","1,348,941","2,752,942",MSBBL
591,"Dec 23, 2024","26,165,956","11,213,981","37,379,937",SHPC
592,"Mar 28, 2023","1,841,306","1,769,098","3,610,404",NSLB
593,"Jan 2, 2025","2,630,432","1,446,493","4,076,925",KMCDB
595,"Feb 18, 2025","314,600","169,400","484,000",MTBL
598,"May 17, 2021","3,721,666","1,594,922","5,316,588",NCDB
600,"Feb 18, 2025","573,744","551,244","1,124,988",CSDBL
601,"Dec 24, 2024","1,142,059","1,097,273","2,239,332",MLBBL
602,"May 17, 2021","1,478,930","633,827","2,112,757",NBBL
605,"Dec 18, 2022","51,039,373","49,037,827","100,077,200",CCBL
608,"Feb 18, 2025","2,121,750",0,"2,121,750",TRHPR
616,"Feb 18, 2025","100,000,000",0,"100,000,000",SEOS
617,"Feb 18, 2025","910,960","1,366,440","2,277,400",EKBL
618,"Feb 28, 2023","3,091,635","1,324,986","4,416,621",LLBS
625,"May 17, 2021","1,388,581","1,334,126","2,722,707",SHBL
627,"Feb 18, 2025","540,600","519,400","1,060,000",KCDBL
629,"Feb 18, 2025","75,000,000",0,"75,000,000",NMBSF1
636,"Feb 18, 2025","75,000,000",0,"75,000,000",NIBSF1
674,"Feb 18, 2025","7,500,000","42,500,000","50,000,000",LVF1
679,"Feb 18, 2025","862,593","575,061","1,437,654",RBBBL
680,"Feb 18, 2025","1,076,100","1,033,900","2,110,000",BFCL
682,"Dec 22, 2023","4,061,828","2,595,815","6,657,643",MMFDB
686,"Jul 17, 2022","3,750,705","1,607,445","5,358,150",BARUN
687,"Aug 6, 2023","5,542,055","1,908,349","7,450,404",VLBS
691,"Mar 10, 2021","1,024,870","439,230","1,464,100",MSMBS
692,"Feb 18, 2025",0,"500,000","500,000",SBLD78
694,"Aug 12, 2024","4,398,502","1,885,072","6,283,574",KLBSL
695,"Mar 23, 2023","935,505","765,414","1,700,919",JSLBB
697,"Oct 17, 2024","35,240,381","25,518,897","60,759,278",API
704,"Nov 19, 2024","4,328,695","2,885,797","7,214,492",NMBMF
705,"May 12, 2023","4,332,302","1,856,700","6,189,002",GILB
1733,"May 17, 2021","3,142,592","2,095,061","5,237,653",SKDBL
1735,"Feb 18, 2025","510,000","490,000","1,000,000",SAJHA
1740,"Feb 18, 2025","100,000,000",0,"100,000,000",GIMES1
2742,"Sep 4, 2024","200,046,536","45,551,598","245,598,134",HIDCL
2743,"Dec 2, 2024","25,917,909","11,107,675","37,025,584",NGPL
2744,"Sep 22, 2024","2,747,482","2,639,738","5,387,220",GRDBL
2746,"Dec 2, 2024","9,857,899","3,458,188","13,316,087",NMFBS
2748,"Dec 24, 2024","5,273,729","5,066,916","10,340,645",RSDC
2750,"Apr 12, 2022","2,083,562","892,954","2,976,516",SLBS
2751,"Feb 18, 2025","3,260,001","1,397,142","4,657,143",KKHC
2752,"Feb 18, 2025","1,000,000,000",0,"1,000,000,000",NMBHF1
2753,"Feb 18, 2025","125,000,000",0,"125,000,000",NEF
2754,"Feb 18, 2025","1,848,000","792,000","2,640,000",DHPL
2755,"Feb 18, 2025","75,000,000",0,"75,000,000",NIBLPF
2757,"Dec 11, 2023","27,271,594","11,687,827","38,959,421",AKPL
2758,"Nov 28, 2024","8,374,069","3,585,470","11,959,539",FOWAD
2759,"Jul 27, 2023","8,469,037","3,629,588","12,098,625",SPDL
2760,"Mar 22, 2023","8,613,500","3,691,500","12,305,000",UMHL
2761,"Feb 5, 2025","4,642,401","1,648,115","6,290,516",SMATA
2764,"Nov 21, 2019","1,932,000","828,000","2,760,000",SDESI
2765,"Feb 18, 2025","125,000,000",0,"125,000,000",LEMF
2766,"Apr 22, 2022","2,708,843","1,160,932","3,869,775",CHL
2767,"Feb 18, 2025","7,457,919","3,196,251","10,654,170",HPPL
2768,"Jan 27, 2025","2,971,227","728,010","3,699,237",MSLB
2769,"Dec 22, 2024","2,717,377","1,164,590","3,881,967",NHDL
2770,"Feb 18, 2025","150,000,000",0,"150,000,000",SEF
2771,"Nov 28, 2024","857,104","367,330","1,224,434",SMB
2773,"Feb 18, 2025","130,000,000",0,"130,000,000",SAEF
2774,"Dec 4, 2023","1,781,598","687,062","2,468,660",USLB
2776,"Dec 18, 2024",0,"18,389,795","18,389,795",RADHI
2777,"Dec 12, 2019","328,583","315,697","644,280",AMFI
2780,"Feb 18, 2025","82,000,000",0,"82,000,000",CMF1
2781,"Apr 3, 2023","554,480","237,633","792,113",WNLB
2783,"Feb 18, 2025","5,600,000",0,"5,600,000",RRHP
2784,"Jan 16, 2022","3,400,320","1,457,280","4,857,600",NADEP
2787,"Jan 9, 2025","6,239,717","3,099,778","9,339,495",KPCL
2788,"Jul 15, 2024","15,000,000","5,000,000","20,000,000",AKJCL
2789,"Jan 1, 2019","2,023,530","1,690,470","3,714,000",JOSHI
2790,"Mar 30, 2022","2,336,869","1,334,566","3,671,435",ACLBSL
2792,"Aug 10, 2023","108,018,000","103,782,000","211,800,000",UPPER
2804,"May 17, 2024","1,189,657","518,393","1,708,050",SLBSL
2806,"Oct 19, 2023","11,550,000","4,950,000","16,500,000",GHL
